Tier,University,Program/Department,Application Open Date,Fall 2027 Application Deadline,Spring 2027 Admission,Fully Funded,Approx Annual Stipend,Health Insurance Included,Professor Name,Research Area / Ongoing Research,Representative Paper (Title; Year; Venue),Paper Link (Google Scholar),Approx Citation Count,Citation Source
Next tier,Penn State,IST/CSE PhD,Typically September,December 15 (based on prior cycle),No,Yes,"~$23,000-30,000 (approx)",Yes (80% premium),Sharon X. Huang,"AI, computer vision, biomedical image computing, ML",MetaMorphs: Deformable shape and appearance models; 2008; IEEE PAMI,https://scholar.google.com/scholar?q=MetaMorphs%3A+Deformable+shape+and+appearance+models,~25000,Google Scholar
Next tier,Penn State,CSE PhD,Typically September,December 15 (based on prior cycle),No,Yes,"~$23,000-30,000 (approx)",Yes (80% premium),Mehrdad Mahdavi,"ML optimization, federated learning, learning theory",Online Convex Optimization with Long Term Constraints; 2012; JMLR,https://scholar.google.com/scholar?q=Online+Convex+Optimization+with+Long+Term+Constraints,~9000,Google Scholar
Next tier,Ohio State University,CSE PhD,July 1 (portal reopens for cycle),~Nov 30-Dec 15 (based on prior cycle),Rare (only with GRA support),Yes,"~$32,000 (approx)",Yes (100% subsidized),Yu Su,"NLP, language agents, knowledge bases, foundation models",Mind2Web: Towards a Generalist Agent for the Web; 2023; NeurIPS,https://scholar.google.com/scholar?q=Mind2Web%3A+Towards+a+Generalist+Agent+for+the+Web,~15000,Google Scholar
Next tier,Ohio State University,CSE PhD,July 1 (portal reopens for cycle),~Nov 30-Dec 15 (based on prior cycle),Rare,Yes,"~$32,000 (approx)",Yes (100% subsidized),Wei-Lun Chao,"Computer vision, 3D perception, ML, autonomous driving",Pseudo-LiDAR from Visual Depth Estimation; 2019; CVPR,https://scholar.google.com/scholar?q=Pseudo-LiDAR+from+Visual+Depth+Estimation,~14000,Google Scholar
Next tier,Ohio State University,CSE PhD,July 1 (portal reopens for cycle),~Nov 30-Dec 15 (based on prior cycle),Rare,Yes,"~$32,000 (approx)",Yes (100% subsidized),Huan Sun,"NLP, biomedical NLP, question answering, LLMs",Open-domain question answering work; 2018; ACL,https://scholar.google.com/scholar?q=Open-domain+question+answering+work,~9000,Google Scholar
Next tier,Northeastern University,Khoury Computer Science PhD,Typically September,December 15 (based on prior cycle),No,Yes,"~$38,000-45,000 (approx)",Yes (NUSHP),Byron Wallace,"NLP, machine learning for health, model interpretability",Attention is not Explanation; 2019; NAACL,https://scholar.google.com/scholar?q=Attention+is+not+Explanation,~23000,Google Scholar
Next tier,Northeastern University,Khoury Computer Science PhD,Typically September,December 15 (based on prior cycle),No,Yes,"~$38,000-45,000 (approx)",Yes (NUSHP),David Bau,"Deep learning interpretability, generative models",Network Dissection: Quantifying Interpretability of Deep Visual Representations; 2017; CVPR,https://scholar.google.com/scholar?q=Network+Dissection%3A+Quantifying+Interpretability+of+Deep+Visual+Representations,~30000,Google Scholar
Next tier,Northeastern University,Khoury Computer Science PhD,Typically September,December 15 (based on prior cycle),No,Yes,"~$38,000-45,000 (approx)",Yes (NUSHP),Robert Platt,"Robotics, manipulation, perception, reinforcement learning",Sample Efficient Grasp Learning Using Equivariant Models; 2022; RSS,https://scholar.google.com/scholar?q=Sample+Efficient+Grasp+Learning+Using+Equivariant+Models,~10500,Google Scholar
Next tier,North Carolina State University,Computer Science PhD,Typically September,~December 15 (based on prior cycle),No (fall focus),Yes,"~$25,000-30,000 (approx)",Yes,Tianfu Wu,"Computer vision, deep learning, interpretable visual modeling",Attentive Normalization; 2020; ECCV,https://scholar.google.com/scholar?q=Attentive+Normalization,~5000,Google Scholar
Next tier,North Carolina State University,Computer Science PhD,Typically September,~December 15 (based on prior cycle),No,Yes,"~$25,000-30,000 (approx)",Yes,Min Chi,"Machine learning, reinforcement learning, AI in education",Empirically Evaluating RL for Pedagogical Strategies; 2011; UMUAI,https://scholar.google.com/scholar?q=Empirically+Evaluating+RL+for+Pedagogical+Strategies,~5000,Google Scholar
Next tier,North Carolina State University,Computer Science PhD,Typically September,~December 15 (based on prior cycle),No,Yes,"~$25,000-30,000 (approx)",Yes,Christopher Healey,"Data visualization, visual analytics, ML for visualization",Attention and Visual Memory in Visualization and Computer Graphics; 2012; IEEE TVCG,https://scholar.google.com/scholar?q=Attention+and+Visual+Memory+in+Visualization+and+Computer+Graphics,~8000,Google Scholar
Next tier,UNC Chapel Hill,Computer Science PhD,Typically September,Dec 16 fellowship / Jan 5 RA-TA / Mar 10 final (based on prior cycle),No,Yes,"~$25,000-30,000 (approx)",Yes,Mohit Bansal,"NLP, multimodal ML, vision-and-language, reasoning agents",LXMERT: Learning Cross-Modality Encoder Representations from Transformers; 2019; EMNLP,https://scholar.google.com/scholar?q=LXMERT%3A+Learning+Cross-Modality+Encoder+Representations+from+Transformers,~50000,Google Scholar
Next tier,UNC Chapel Hill,Computer Science PhD,Typically September,Dec 16 fellowship / Jan 5 RA-TA / Mar 10 final (based on prior cycle),No,Yes,"~$25,000-30,000 (approx)",Yes,Huaxiu Yao,"Machine learning, foundation models, multimodal/trustworthy AI",Improving Out-of-Distribution Robustness via Selective Augmentation (LISA); 2022; ICML,https://scholar.google.com/scholar?q=Improving+Out-of-Distribution+Robustness+via+Selective+Augmentation+%28LISA%29,~17000,Google Scholar
Next tier,UNC Chapel Hill,Computer Science PhD,Typically September,Dec 16 fellowship / Jan 5 RA-TA / Mar 10 final (based on prior cycle),No,Yes,"~$25,000-30,000 (approx)",Yes,Gedas Bertasius,"Computer vision, video understanding, multimodal learning",Is Space-Time Attention All You Need for Video Understanding? (TimeSformer); 2021; ICML,https://scholar.google.com/scholar?q=Is+Space-Time+Attention+All+You+Need+for+Video+Understanding%3F+%28TimeSformer%29,~10000,Google Scholar
Next tier,University of Minnesota,Computer Science & Engineering PhD,Typically September,Dec 1 fellowship / Jan 5 final (based on prior cycle),No (fall only),Yes,"~$30,000-40,000 (approx)",Yes,Vipin Kumar,"Data mining, HPC, knowledge-guided ML, climate informatics",Introduction to Data Mining (textbook); 2005; Pearson,https://scholar.google.com/scholar?q=Introduction+to+Data+Mining+%28textbook%29,~160000,Google Scholar
Next tier,University of Minnesota,Computer Science & Engineering PhD,Typically September,Dec 1 fellowship / Jan 5 final (based on prior cycle),No,Yes,"~$30,000-40,000 (approx)",Yes,George Karypis,"Data mining, graph partitioning (METIS), recommender systems",Item-Based Collaborative Filtering Recommendation Algorithms; 2001; WWW,https://scholar.google.com/scholar?q=Item-Based+Collaborative+Filtering+Recommendation+Algorithms,~100000,Google Scholar
Next tier,University of Minnesota,Computer Science & Engineering PhD,Typically September,Dec 1 fellowship / Jan 5 final (based on prior cycle),No,Yes,"~$30,000-40,000 (approx)",Yes,Maria Gini,"AI, robotics, multi-agent systems, multi-robot coordination",Multi-robot task allocation work; 2006; Robotics and Autonomous Systems,https://scholar.google.com/scholar?q=Multi-robot+task+allocation+work,~8800,Google Scholar
Next tier,Purdue University,Computer Science PhD,Typically September,Nov 1 priority / ~Dec 15 final (based on prior cycle),No (fall focus),Yes,"$23,389 (AY) / $31,390 w/summer",Yes,Jennifer Neville,"Data mining, statistical relational learning, social network analysis",Iterative Classification in Relational Data; 2000; AAAI Workshop,https://scholar.google.com/scholar?q=Iterative+Classification+in+Relational+Data,~12000,Google Scholar
Next tier,Purdue University,Computer Science PhD,Typically September,Nov 1 priority / ~Dec 15 final (based on prior cycle),No,Yes,"$23,389 (AY) / $31,390 w/summer",Yes,Bruno Ribeiro,"Machine learning, graph representation learning, relational learning",Relational Pooling for Graph Representations; 2019; ICML,https://scholar.google.com/scholar?q=Relational+Pooling+for+Graph+Representations,~5300,Google Scholar
Next tier,Purdue University,Computer Science PhD,Typically September,Nov 1 priority / ~Dec 15 final (based on prior cycle),No,Yes,"$23,389 (AY) / $31,390 w/summer",Yes,Dan Goldwasser,"NLP, structured prediction, social/political text analysis",Learning from Natural Instructions; 2014; Machine Learning,https://scholar.google.com/scholar?q=Learning+from+Natural+Instructions,~6000,Google Scholar
Next tier,Texas A&M University,CSE PhD,Typically September,December 15 (based on prior cycle),Limited,Yes,"~$22,000-30,000 (approx)",Yes,Shuiwang Ji,"Machine learning, AI for science, graph neural networks, molecular ML",3D Convolutional Neural Networks for Human Action Recognition; 2013; IEEE PAMI,https://scholar.google.com/scholar?q=3D+Convolutional+Neural+Networks+for+Human+Action+Recognition,~37000,Google Scholar
Next tier,Texas A&M University,CSE PhD,Typically September,December 15 (based on prior cycle),Limited,Yes,"~$22,000-30,000 (approx)",Yes,James Caverlee,"Recommender systems, IR, data mining, social media",Spam-resilient web ranking work; 2008; WWW,https://scholar.google.com/scholar?q=Spam-resilient+web+ranking+work,~13000,Google Scholar
Next tier,Texas A&M University,CSE PhD,Typically September,December 15 (based on prior cycle),Limited,Yes,"~$22,000-30,000 (approx)",Yes,Tianbao Yang,"ML optimization, deep AUC maximization, stochastic optimization",Deep AUC Maximization; 2021; ICML,https://scholar.google.com/scholar?q=Deep+AUC+Maximization,~16000,Google Scholar
Next tier,University of Virginia,Computer Science PhD,October 1,~December 15 (based on prior cycle),No,Yes,"~$30,000-37,000 (approx)",Yes,Yanjun Qi,"Machine learning, deep learning, NLP, adversarial/trustworthy AI",TextAttack: A Framework for Adversarial Attacks in NLP; 2020; EMNLP,https://scholar.google.com/scholar?q=TextAttack%3A+A+Framework+for+Adversarial+Attacks+in+NLP,~12000,Google Scholar
Next tier,University of Virginia,Computer Science PhD,October 1,~December 15 (based on prior cycle),No,Yes,"~$30,000-37,000 (approx)",Yes,David Evans,"ML security, adversarial ML, privacy, secure computation",Evaluating Differentially Private Machine Learning in Practice; 2019; USENIX Security,https://scholar.google.com/scholar?q=Evaluating+Differentially+Private+Machine+Learning+in+Practice,~20000,Google Scholar
Next tier,University of Virginia,Computer Science PhD,October 1,~December 15 (based on prior cycle),No,Yes,"~$30,000-37,000 (approx)",Yes,Yangfeng Ji,"NLP, deep learning for text, discourse, representation learning",A Latent Variable Recurrent Neural Network for Discourse Relation Language Models; 2016; NAACL,https://scholar.google.com/scholar?q=A+Latent+Variable+Recurrent+Neural+Network+for+Discourse+Relation+Language+Models,~8000,Google Scholar
Next tier,University of Pittsburgh,Computer Science PhD,Typically September,~December 15 (based on prior cycle),Limited,Yes,"~$30,000 (approx)",Yes (free UPMC plan),Diane Litman,"NLP, AI in education, intelligent tutoring systems, dialogue",ITSPOKE spoken dialogue tutoring work; 2006; Speech Communication,https://scholar.google.com/scholar?q=ITSPOKE+spoken+dialogue+tutoring+work,~17000,Google Scholar
Next tier,University of Pittsburgh,Computer Science PhD,Typically September,~December 15 (based on prior cycle),Limited,Yes,"~$30,000 (approx)",Yes (free UPMC plan),Adriana Kovashka,"Computer vision, ML, vision-and-language, visual persuasion",Automatic Understanding of Image and Video Advertisements; 2017; CVPR,https://scholar.google.com/scholar?q=Automatic+Understanding+of+Image+and+Video+Advertisements,~3300,Google Scholar
Next tier,University of Pittsburgh,Computer Science PhD,Typically September,~December 15 (based on prior cycle),Limited,Yes,"~$30,000 (approx)",Yes (free UPMC plan),Milos Hauskrecht,"Machine learning, probabilistic models, ML for healthcare",Planning and Control in Partially Observable Markov Decision Processes; 2000; JAIR,https://scholar.google.com/scholar?q=Planning+and+Control+in+Partially+Observable+Markov+Decision+Processes,~13000,Google Scholar
Next tier,University of Florida,CISE PhD (CS),Typically September,December 5 priority (based on prior cycle),No (fall only PhD),Yes,"~$32,000 (TA)",Yes (subsidized),My T. Thai,"Network science, graph learning, AI safety, security & privacy",Cost-aware Targeted Viral Marketing in Billion-scale Networks; 2016; INFOCOM,https://scholar.google.com/scholar?q=Cost-aware+Targeted+Viral+Marketing+in+Billion-scale+Networks,~13400,Google Scholar
Next tier,University of Florida,CISE PhD (CS),Typically September,December 5 priority (based on prior cycle),No,Yes,"~$32,000 (TA)",Yes (subsidized),Anand Rangarajan,"Machine learning, computer vision, point matching",A New Point Matching Algorithm for Non-Rigid Registration (TPS-RPM); 2003; CVIU,https://scholar.google.com/scholar?q=A+New+Point+Matching+Algorithm+for+Non-Rigid+Registration+%28TPS-RPM%29,~16500,Google Scholar
Next tier,University of Florida,CISE PhD (CS),Typically September,December 5 priority (based on prior cycle),No,Yes,"~$32,000 (TA)",Yes (subsidized),Sanjay Ranka,"Data mining, HPC, machine learning, big data analytics",Elements of Artificial Neural Networks (textbook); 1997; MIT Press,https://scholar.google.com/scholar?q=Elements+of+Artificial+Neural+Networks+%28textbook%29,~20000,Google Scholar
Next tier,UC Irvine,Computer Science PhD (ICS),Early October,December 15 (based on prior cycle),No,Yes,"~$35,000-40,000 (approx)",Yes,Pierre Baldi,"Deep learning, neural networks, AI for natural sciences, bioinformatics",Searching for exotic particles in high-energy physics with deep learning; 2014; Nature Communications,https://scholar.google.com/scholar?q=Searching+for+exotic+particles+in+high-energy+physics+with+deep+learning,~85000,Google Scholar
Next tier,UC Irvine,Computer Science PhD (ICS),Early October,December 15 (based on prior cycle),No,Yes,"~$35,000-40,000 (approx)",Yes,Padhraic Smyth,"Machine learning, AI, probabilistic models, applied statistics",Principles of Data Mining (textbook); 2001; MIT Press,https://scholar.google.com/scholar?q=Principles+of+Data+Mining+%28textbook%29,~71000,Google Scholar
Next tier,UC Irvine,Computer Science PhD (ICS),Early October,December 15 (based on prior cycle),No,Yes,"~$35,000-40,000 (approx)",Yes,Sameer Singh,"NLP, machine learning, interpretability, robustness of LLMs",'Why Should I Trust You?': Explaining the Predictions of Any Classifier (LIME); 2016; KDD,https://scholar.google.com/scholar?q=%27Why+Should+I+Trust+You%3F%27%3A+Explaining+the+Predictions+of+Any+Classifier+%28LIME%29,~60000,Google Scholar
Next tier,University of Colorado Boulder,Computer Science PhD,Typically September,December 15 (based on prior cycle),No,Yes,"$32,446 ($16,222.92/sem)",Yes (91% premium),Claire Monteleoni,"Machine learning, AI, climate informatics, online learning",Tracking Climate Models; 2011; Statistical Analysis and Data Mining,https://scholar.google.com/scholar?q=Tracking+Climate+Models,~5800,Google Scholar
Next tier,University of Colorado Boulder,Computer Science PhD,Typically September,December 15 (based on prior cycle),No,Yes,"$32,446 ($16,222.92/sem)",Yes (91% premium),Martha Palmer,"NLP, computational linguistics, semantic role labeling",The Proposition Bank: An Annotated Corpus of Semantic Roles; 2005; Computational Linguistics,https://scholar.google.com/scholar?q=The+Proposition+Bank%3A+An+Annotated+Corpus+of+Semantic+Roles,~30000,Google Scholar
Next tier,University of Colorado Boulder,Computer Science PhD,Typically September,December 15 (based on prior cycle),No,Yes,"$32,446 ($16,222.92/sem)",Yes (91% premium),Danna Gurari,"Computer vision, accessibility, visual question answering",VizWiz Grand Challenge: Answering Visual Questions from Blind People; 2018; CVPR,https://scholar.google.com/scholar?q=VizWiz+Grand+Challenge%3A+Answering+Visual+Questions+from+Blind+People,~9000,Google Scholar
Next tier,Boston University,Computer Science PhD,Typically September,December 15 (based on prior cycle),No (fall only),Yes,"$40,977-43,000 (12-mo)",Yes (SHIP),Kate Saenko,"Computer vision, ML, domain adaptation, vision-and-language",Adversarial Discriminative Domain Adaptation (ADDA); 2017; CVPR,https://scholar.google.com/scholar?q=Adversarial+Discriminative+Domain+Adaptation+%28ADDA%29,~79000,Google Scholar
Next tier,Boston University,Computer Science PhD,Typically September,December 15 (based on prior cycle),No,Yes,"$40,977-43,000 (12-mo)",Yes (SHIP),Brian Kulis,"Machine learning, statistics, computer vision, metric learning",Information-Theoretic Metric Learning; 2007; ICML,https://scholar.google.com/scholar?q=Information-Theoretic+Metric+Learning,~21600,Google Scholar
Next tier,Boston University,Computer Science PhD,Typically September,December 15 (based on prior cycle),No,Yes,"$40,977-43,000 (12-mo)",Yes (SHIP),Bryan Plummer,"Computer vision, vision-and-language grounding, multimodal learning",Flickr30k Entities: Collecting Region-to-Phrase Correspondences; 2015; ICCV,https://scholar.google.com/scholar?q=Flickr30k+Entities%3A+Collecting+Region-to-Phrase+Correspondences,~10000,Google Scholar
Next tier,University of Utah,Kahlert School of Computing PhD,Typically September,~December 15 (based on prior cycle),Limited,Yes,"~$28,500 (9-mo fellowship)",Yes (100% subsidized),Vivek Srikumar,"Machine learning, NLP, structured prediction, neuro-symbolic methods",OSCaR: Orthogonal Subspace Correction and Rectification of Biases in Word Embeddings; 2021; EMNLP,https://scholar.google.com/scholar?q=OSCaR%3A+Orthogonal+Subspace+Correction+and+Rectification+of+Biases+in+Word+Embeddings,~14000,Google Scholar
Next tier,University of Utah,Kahlert School of Computing PhD,Typically September,~December 15 (based on prior cycle),Limited,Yes,"~$28,500 (9-mo fellowship)",Yes (100% subsidized),Suresh Venkatasubramanian,"Algorithmic fairness, machine learning, data mining",Certifying and Removing Disparate Impact; 2015; KDD,https://scholar.google.com/scholar?q=Certifying+and+Removing+Disparate+Impact,~25000,Google Scholar
Next tier,University of Utah,Kahlert School of Computing PhD,Typically September,~December 15 (based on prior cycle),Limited,Yes,"~$28,500 (9-mo fellowship)",Yes (100% subsidized),Ana Marasovic,"NLP, interpretability, explanations, vision-and-language",Natural Language Rationales survey work; 2020; Findings of EMNLP,https://scholar.google.com/scholar?q=Natural+Language+Rationales+survey+work,~7000,Google Scholar
